Noise_Level,Method,PSNR,SSIM,Runtime
25,Noisy,20.628708344854672,0.28778663,0.0
25,Gaussian,31.060371946748823,0.8336351,0.0033469200134277344
25,Bilateral,29.81949075606161,0.75976014,0.027958154678344727
25,Median,30.042627741563138,0.7852971,0.0036270618438720703
25,Wavelet_db8_L2_soft_s0.5,30.34595180945658,0.79377747,0.03901386260986328
25,Wavelet_db8_L2_hard_s0.5,26.855913565126933,0.61504984,0.037796735763549805
25,Wavelet_sym8_L2_soft_s0.5,30.339733297590655,0.7950471,0.0378570556640625
25,Wavelet_sym8_L2_hard_s0.5,26.947774081766674,0.62679285,0.03929495811462402
